Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,1μF,C_0805_2012Metric,18.542,-6.604,-90.0,top
C7,1μF,C_0805_2012Metric,16.51,-6.604,-90.0,top
D2,"CUS10S30
",D_SOD-323,13.716,-2.54,180.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,6.096,-4.456,180.0,top
J7,JST-PH 2.0,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,15.24,-35.052,0.0,top
R1,5.1k,R_0603_1608Metric,18.796,-3.048,-90.0,top
R2,5.1k,R_0603_1608Metric,16.764,-3.048,-90.0,top
R3,10k,R_0603_1608Metric,22.86,-9.652,0.0,top
R4,10k,R_0603_1608Metric,3.048,-30.48,180.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,26.416,-5.012,90.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,22.352,-5.08,90.0,top
U1,ME6211C33M5G-N,SOT-23-5,13.716,-6.096,90.0,top
U5,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,10.782,-22.256,0.0,top
